gender_rank,occupation,gender,individuals,average_taxable_income
1071,Cane furniture maker; Cooper; Model maker – wood; Wood carver,Female,14,22160
778,Cane furniture maker; Cooper; Model maker – wood; Wood carver,Male,83,47006
792,Canvas goods maker,Female,53,36513
751,Canvas goods maker,Male,229,48093
937,Car detailer; Car wash attendant; Detailer – vehicle,Female,1529,30690
1012,Car detailer; Car wash attendant; Detailer – vehicle,Male,10953,31609
869,Car park attendant,Female,271,33232
946,Car park attendant,Male,1643,36082
407,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson,Female,1265,56461
394,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson,Male,10298,73146
645,Caravan park manager,Female,1188,43343
696,Caravan park manager,Male,1284,51116
361,Cardiac technician,Female,684,59408
289,Cardiac technician,Male,350,82273
11,Cardiologist,Female,151,215920
3,Cardiologist,Male,651,453253
20,Cardiothoracic surgeon,Female,11,175500
15,Cardiothoracic surgeon,Male,134,358043
442,Careers adviser; Careers counsellor,Female,1371,54113
527,Careers adviser; Careers counsellor,Male,436,63451
888,Caretaker; Janitor,Female,1021,32619
877,Caretaker; Janitor,Male,2747,41065
706,Carpenter,Female,127,40726
581,Carpenter,Male,52178,59381
797,Carpenter and joiner; Shop fitter,Female,142,36209
578,Carpenter and joiner; Shop fitter,Male,17158,59651
1026,Carpet cleaner,Female,343,25890
964,Carpet cleaner,Male,1016,35101
889,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork",Female,55,32544
786,"Carpet layer; Floor finisher; Floor sander and polisher; Floor tile layer – carpet, lino or cork",Male,3414,46625
289,Cartographer,Female,337,63610
304,Cartographer,Male,764,80842
897,Cash van salesperson,Female,89,32300
789,Cash van salesperson,Male,358,46490
1065,Cashier; Casino worker – cashier or cage supervisor,Female,50688,23007
1093,Cashier; Casino worker – cashier or cage supervisor,Male,15027,23292
915,Casino worker – host; Hospitality employee – other,Female,18233,31639
953,Casino worker – host; Hospitality employee – other,Male,10604,35880
520,Casino worker – surveillance officer; Security guard – other security officer or guard,Female,487,49998
673,Casino worker – surveillance officer; Security guard – other security officer or guard,Male,2419,52653
317,Casting director,Female,80,61291
556,Casting director,Male,23,60972
940,Cellarhand – winery; Winery cellarhand,Female,1038,30567
842,Cellarhand – winery; Winery cellarhand,Male,3068,43114
540,Cement plant hand or labourer,Female,54,48945
644,Cement plant hand or labourer,Male,3369,54445
435,Cement production plant operator,Female,15,54927
294,Cement production plant operator,Male,554,81826
1046,Cement renderer; Concrete plasterer,Female,12,24677
598,Cement renderer; Concrete plasterer,Male,2684,57584
574,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist,Female,1033,47277
621,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist,Male,917,55833
247,Change management facilitator; Industry analyst; Quality auditor; Skills auditor,Female,2958,66394
309,Change management facilitator; Industry analyst; Quality auditor; Skills auditor,Male,3303,80112
1016,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader,Female,4368,26331
1016,Chaplain; Clergy – member of; Imam; Minister of religion; Missionary; Monk; Priest; Rabbi; Religious leader,Male,12267,31441
846,Charter bus driver; Tour bus driver,Female,97,34075
869,Charter bus driver; Tour bus driver,Male,807,41610
916,Chauffeur; Hire car driver,Female,261,31589
856,Chauffeur; Hire car driver,Male,1601,42320
1045,Checkout operator; Console operator – service station,Female,39653,24688
1072,Checkout operator; Console operator – service station,Male,14933,25688
687,Cheesemaker; Dairy products maker,Female,1326,41458
583,Cheesemaker; Dairy products maker,Male,3091,59305
782,Chef,Female,20384,36804
835,Chef,Male,63965,43672
86,Chemical engineer,Female,1663,93125
79,Chemical engineer,Male,4751,128289
652,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer,Female,536,43131
514,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer,Male,4770,64450
173,Chemical plant operator; Paint maker,Female,272,74644
193,Chemical plant operator; Paint maker,Male,4964,94896
473,Chemical production machine operator,Female,309,52298
459,Chemical production machine operator,Male,1544,67620
254,Chemist – industrial or research,Female,3618,65835
243,Chemist – industrial or research,Male,4869,87628
951,Chemist shop assistant; Pharmacy assistant,Female,31601,29987
1042,Chemist shop assistant; Pharmacy assistant,Male,2916,29095
528,Chemistry technician,Female,3091,49659
547,Chemistry technician,Male,2597,61959
48,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary,Female,41895,116855
49,Chief executive officer; Executive director; Managing director; Public servant – secretary or deputy secretary,Male,111813,181849
75,Chief information officer; IT professional – chief information officer,Female,1290,98194
80,Chief information officer; IT professional – chief information officer,Male,5457,127694
919,Child care aide or worker; Creche attendant,Female,90620,31428
1033,Child care aide or worker; Creche attendant,Male,2709,29696
418,Child care centre director,Female,7922,55902
268,Child care centre director,Male,398,84538
991,Child care worker – out of school hours care,Female,4439,27884
1090,Child care worker – out of school hours care,Male,821,23700
980,Child minder; Governess – child care; Nanny,Female,4469,28402
1006,Child minder; Governess – child care; Nanny,Male,183,32001
819,Child or youth residential care assistant,Female,2028,34940
884,Child or youth residential care assistant,Male,522,40692
909,Chimney sweep; Cleaner – other; Detailer – aircraft,Female,20543,31877
949,Chimney sweep; Cleaner – other; Detailer – aircraft,Male,13159,35965
760,Chinese medicine practitioner,Female,78,38171
795,Chinese medicine practitioner,Male,68,46044
370,Chiropractor,Female,871,58838
366,Chiropractor,Male,1229,74993
962,Chocolate packer,Female,794,29254
1028,Chocolate packer,Male,353,29866
911,Choreographer; Dancer; Stripper – entertainment,Female,609,31840
940,Choreographer; Dancer; Stripper – entertainment,Male,336,36404
1079,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher,Female,1082,21080
1076,Cinema attendant – ushering; Railway employee – ticket collector; Theatre attendant – ushering; Ticket collector; Usher,Male,1346,25390
625,Cinema manager; Theatre manager,Female,671,44289
688,Cinema manager; Theatre manager,Male,685,51783
835,Circus performer; Comedian; Entertainer; Performing artist; Variety artist,Female,2017,34493
579,Circus performer; Comedian; Entertainer; Performing artist; Variety artist,Male,1904,59643
1031,Civil celebrant,Female,44,25447
658,Civil celebrant,Male,28,53778
153,Civil engineer,Female,3568,77775
100,Civil engineer,Male,29314,115275
447,Civil engineering draftsperson; Structural draftsperson,Female,1059,53707
402,Civil engineering draftsperson; Structural draftsperson,Male,5785,72624
328,Civil engineering technician or associate,Female,166,60870
271,Civil engineering technician or associate,Male,2135,84075
402,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk,Female,12747,56964
340,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk,Male,7692,77192
914,Classer – fruit and vegetable; Egg grader; Product grader,Female,672,31682
863,Classer – fruit and vegetable; Egg grader; Product grader,Male,356,41984
965,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner,Female,62281,29162
989,Cleaner – Commercial; Cleaner – hotel or motel; Office cleaner; School cleaner,Male,35705,33434
1043,Cleaner – domestic,Female,9105,24747
1040,Cleaner – domestic,Male,1690,29190
594,Clerk – other; Coding clerk; Exam supervisor,Female,26526,46693
743,Clerk – other; Coding clerk; Exam supervisor,Male,6852,48591
511,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists,Female,6777,50442
765,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists,Male,423,47746
424,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg,Female,984,55536
396,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg,Male,500,73087
567,Client service manager; Customer service manager,Female,57577,47519
573,Client service manager; Customer service manager,Male,31066,59947
516,Clinical coder,Female,558,50075
572,Clinical coder,Male,70,59996
31,Clinical haematologist,Female,118,147970
29,Clinical haematologist,Male,141,271738
260,Clinical psychologist,Female,4069,65548
287,Clinical psychologist,Male,1019,82399
712,Clock and watch maker and repairer,Female,34,40576
701,Clock and watch maker and repairer,Male,301,50734
959,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer,Female,3437,29598
978,Cloth cutter; Clothing factory hand or labourer; Fabric factory hand or labourer; Textile factory hand or labourer,Male,4360,34162
334,Clothing designer; Fashion designer,Female,3313,60543
371,Clothing designer; Fashion designer,Male,445,74687
550,Clothing pattern maker; Patternmaker-grader – textiles,Female,555,48465
636,Clothing pattern maker; Patternmaker-grader – textiles,Male,130,54780
406,Club licensee; Club manager – licensed club,Female,1134,56472
398,Club licensee; Club manager – licensed club,Male,2428,72999
650,Coach driver; Passenger coach driver,Female,122,43243
739,Coach driver; Passenger coach driver,Male,1580,48694
87,Coal miner; Miner; Mining technician; Opal miner; Prospector,Female,2482,91926
96,Coal miner; Miner; Mining technician; Opal miner; Prospector,Male,36613,118162
583,Commercial artist; Graphic designer,Female,13436,47046
594,Commercial artist; Graphic designer,Male,12316,57911
536,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re,Female,32055,49168
473,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re,Male,43349,66471
92,Commissioned policy officer; Police inspector,Female,336,90810
92,Commissioned policy officer; Police inspector,Male,1603,119385
148,Commissioner fire officer; Fire investigator,Female,36,78308
175,Commissioner fire officer; Fire investigator,Male,574,97844
151,Commodities broker,Female,343,78191
69,Commodities broker,Male,743,136457
439,Communications equipment tradesperson; Telecommunications cable jointer or repairer,Female,57,54691
376,Communications equipment tradesperson; Telecommunications cable jointer or repairer,Male,2321,74338
426,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers,Female,353,55282
374,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers,Male,8751,74450
234,Communications officer – public relations; Media officer; Public relations officer,Female,11624,68094
282,Communications officer – public relations; Media officer; Public relations officer,Male,4224,83056
296,Communications operator,Female,709,62754
326,Communications operator,Male,679,78575
778,Community arts worker,Female,302,37126
922,Community arts worker,Male,94,37754
784,Community support worker,Female,22421,36799
896,Community support worker,Male,7883,39972
475,Company rep. – industrial; Sales representative – industrial products,Female,2148,52214
437,Company rep. – industrial; Sales representative – industrial products,Male,9932,69902
495,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance,Female,4453,51379
260,Company rep. – insurance; Insurance agent or salesperson; Life assurance representative; Retail assistant – insurance; Sales assistant – insurance,Male,3953,85506
129,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products,Female,4221,80430
168,Company rep. – medical and pharmaceutical products; Sales representative – medical and pharmaceutical products,Male,2846,98998
372,Company rep. – real estate; Real estate salesperson,Female,5257,58777
329,Company rep. – real estate; Real estate salesperson,Male,6561,78187
51,Company secretary – corporate governance,Female,1837,107786
43,Company secretary – corporate governance,Male,1088,218432
259,Compliance officer – quarantine; Quarantine inspector,Female,1251,65567
324,Compliance officer – quarantine; Quarantine inspector,Male,1673,78712
537,Composer,Female,56,49129
464,Composer,Male,205,67273
527,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter,Female,872,49699
546,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter,Male,1516,62103
111,Computer network and systems engineer,Female,773,84510
189,Computer network and systems engineer,Male,10687,96149
292,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs,Female,1874,63236
456,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs,Male,20810,67903
210,Computer systems administrator,Female,4893,70660
209,Computer systems administrator,Male,14089,93186
115,Computing professional – other support technicians,Female,418,83411
166,Computing professional – other support technicians,Male,1724,99128
90,Computing systems analyst; Methods analyst – computing,Female,3005,91303
134,Computing systems analyst; Methods analyst – computing,Male,8579,105332
640,Concierge – hotel; Hotel service manager,Female,1827,43593
781,Concierge – hotel; Hotel service manager,Male,2608,46912
188,Concrete batching plant operator,Female,27,73178
341,Concrete batching plant operator,Male,1255,77066
222,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general,Female,4179,68747
544,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general,Male,143209,62350
437,Concrete products machine operator,Female,78,54778
440,Concrete products machine operator,Male,2224,69533
638,Concrete pump operator,Female,5,43610
428,Concrete pump operator,Male,1355,70738
661,Concrete worker,Female,76,42801
554,Concrete worker,Male,19575,61394
434,Conductor – music; Music director,Female,202,54983
560,Conductor – music; Music director,Male,333,60637
589,Confectioner,Female,901,46878
558,Confectioner,Male,1064,60744
553,Conference and event organiser; Functions coordinator,Female,6839,48424
604,Conference and event organiser; Functions coordinator,Male,1708,56998
454,Conservation officer,Female,476,53178
570,Conservation officer,Male,678,60007
357,Conservator,Female,260,59474
426,Conservator,Male,109,70913
403,Construction estimator,Female,565,56844
311,Construction estimator,Male,4039,79976
112,Construction project manager; Building and contruction manager,Female,2580,84450
129,Construction project manager; Building and contruction manager,Male,38985,106796
138,Consultant – chemical or material engineer,Female,39,79791
142,Consultant – chemical or material engineer,Male,192,103886
130,Consultant – civil engineer,Female,61,80359
72,Consultant – civil engineer,Male,491,133306
239,Consultant – clinical nurse,Female,360,67129
330,Consultant – clinical nurse,Male,63,77977
230,Consultant – construction manager,Female,156,68277
115,Consultant – construction manager,Male,948,109670
233,Consultant – electrical engineer,Female,24,68126
102,Consultant – electrical engineer,Male,342,114264
613,Consultant – electronics engineer,Female,8,44893
153,Consultant – electronics engineer,Male,161,100716
84,Consultant – engineering Consultant – other,Female,354,93445
95,Consultant – engineering Consultant – other,Male,2981,118494
281,Consultant – environmental,Female,694,64192
305,Consultant – environmental,Male,1025,80818
116,Consultant – financial investment,Female,958,83026
59,Consultant – financial investment,Male,1737,151599
192,Consultant – human resources,Female,3500,72877
254,Consultant – human resources,Male,1423,86240
213,Consultant – industrial or mechanical engineer,Female,17,70432
164,Consultant – industrial or mechanical engineer,Male,281,99222
482,Consultant – insurance (clerical),Female,610,52016
504,Consultant – insurance (clerical),Male,259,65080
96,Consultant – IT business analyst Apprentice or trainee,Female,3084,88972
114,Consultant – IT business analyst Apprentice or trainee,Male,10916,109728
85,Consultant – management,Female,6398,93425
77,Consultant – management,Male,11557,130277
340,Consultant – marketing specialist,Female,1920,60268
318,Consultant – marketing specialist,Male,1285,79397
197,Consultant – medical,Female,477,72091
85,Consultant – medical,Male,289,124455
125,Consultant – medical and pharmaceutical products sales representative,Female,225,80916
93,Consultant – medical and pharmaceutical products sales representative,Male,167,118777
80,Consultant – mining engineer,Female,49,95151
52,Consultant – mining engineer,Male,441,169818
199,Consultant – occupational health and safety,Female,697,71718
157,Consultant – occupational health and safety,Male,1088,100464
179,Consultant – public relations professional,Female,606,73889
169,Consultant – public relations professional,Male,376,98938
503,Consultant – recruitment,Female,1116,50857
400,Consultant – recruitment,Male,612,72857
316,Consultant – security,Female,58,61343
273,Consultant – security,Male,339,84009
318,Consultant – tax accountant,Female,642,61239
357,Consultant – tax accountant,Male,805,75854
603,Consultant – travel,Female,1370,45917
652,Consultant – travel,Male,338,54027
124,Consultant – urban and regional planner,Female,149,80921
146,Consultant – urban and regional planner,Male,219,103201
814,Consultant – weight loss,Female,144,35198
557,Consultant – weight loss,Male,16,60921
299,Consultant – workplace relations,Female,423,62674
365,Consultant – workplace relations,Male,311,75024
934,Container filler,Female,156,30904
950,Container filler,Male,414,35926
502,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser,Female,101,50883
471,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser,Male,164,66538
257,Contract administrator,Female,5508,65765
211,Contract administrator,Male,4955,92471
486,Conveyancer,Female,2006,51831
475,Conveyancer,Male,313,66351
927,Cook Skilled animal and,Female,17541,31169
994,Cook Skilled animal and,Male,16295,33148
655,Coppersmith; Sheetmetal trades worker,Female,64,43009
561,Coppersmith; Sheetmetal trades worker,Male,9283,60472
508,Copywriter,Female,652,50496
422,Copywriter,Male,586,71175
141,Corporate general manager,Female,68481,79406
88,Corporate general manager,Male,136047,122695
97,Corporate services manager,Female,4370,88877
87,Corporate services manager,Male,5299,123449
52,Corporate treasurer; Financial risk analyst; Financial risk manager,Female,1494,107152
55,Corporate treasurer; Financial risk analyst; Financial risk manager,Male,2490,165178
271,Cost clerk,Female,518,64768
496,Cost clerk,Male,593,65329
826,Costume maker; Dressmaker; Tailor; Wardrobe coordinator or assistant,Female,1770,34750
870,Costume maker; Dressmaker; Tailor; Wardrobe coordinator or assistant,Male,347,41336
857,Cotton grower,Female,44,33645
521,Cotton grower,Male,309,63757
485,Councillor; Local government legislator,Female,1552,51929
540,Councillor; Local government legislator,Male,1605,62527
306,Counselling psychologist; Psychologist – other; Sports psychologist,Female,7389,61968
320,Counselling psychologist; Psychologist – other; Sports psychologist,Male,1872,79081
588,Counsellor – other,Female,3527,46879
618,Counsellor – other,Male,1087,55932
831,Courier; Messenger,Female,2133,34574
868,Courier; Messenger,Male,9940,41683
474,Court bailiff or sheriff,Female,136,52295
569,Court bailiff or sheriff,Male,304,60030
616,Court orderly,Female,231,44835
675,Court orderly,Male,189,52610
399,Court reporter; Hansard reporter; Machine shorthand reporter,Female,524,57212
501,Court reporter; Hansard reporter; Machine shorthand reporter,Male,459,65138
579,Crane chaser,Female,6,47126
350,Crane chaser,Male,438,76650
394,Crane operator; Hoist operator; Lift operator; Oil rig worker – operating crane,Female,177,57575
147,Crane operator; Hoist operator; Lift operator; Oil rig worker – operating crane,Male,10008,102644
664,Cricketer,Female,22,42744
32,Cricketer,Male,211,257527
1090,Crossing supervisor; Crosswalk attendant,Female,1611,17357
1073,Crossing supervisor; Crosswalk attendant,Male,922,25652
766,Curtain installer; Installer – home improvements; Security door installer,Female,106,37788
769,Curtain installer; Installer – home improvements; Security door installer,Male,3195,47548
887,Curtain maker; Sewing machinist; Textile sewing machinist,Female,5448,32633
924,Curtain maker; Sewing machinist; Textile sewing machinist,Male,577,37652
382,Customs agent; Import-export clerk,Female,1871,58074
285,Customs agent; Import-export clerk,Male,2169,82678
232,Customs investigator or officer,Female,1624,68154
227,Customs investigator or officer,Male,2271,89093
880,Cyclist,Female,4,32841
1029,Cyclist,Male,39,29829
768,Dairy cattle farmer or farm overseer,Female,513,37609
783,Dairy cattle farmer or farm overseer,Male,1628,46833
1021,Dairy farm employee; Drover – dairy cattle; Jackeroo – dairy cattle; Jillaroo – dairy cattle; Stationhand – dairy cattle,Female,1842,26126
954,Dairy farm employee; Drover – dairy cattle; Jackeroo – dairy cattle; Jillaroo – dairy cattle; Stationhand – dairy cattle,Male,3616,35866
601,Dairy quality assurance inspector; Fruit and vegetable inspector,Female,226,46178
609,Dairy quality assurance inspector; Fruit and vegetable inspector,Male,327,56685
871,Dark room attendant; Photographic developer and printer; Photographic laboratory assistant,Female,702,33149
626,Dark room attendant; Photographic developer and printer; Photographic laboratory assistant,Male,913,55520
764,Data entry operator; Data processing operator; Keyboard operator,Female,9060,37956
898,Data entry operator; Data processing operator; Keyboard operator,Male,2796,39918
425,Database administrator,Female,2353,55436
245,Database administrator,Male,2776,87217
620,Debt collector,Female,2442,44537
730,Debt collector,Male,1693,49268
975,Decorator – floral; Florist,Female,3253,28698
926,Decorator – floral; Florist,Male,225,37640
1093,Deer farmer or farm overseer,Female,3,13307
849,Deer farmer or farm overseer,Male,11,42582
922,Delivery driver; Pizza deliverer; Taxi-truck driver; Van driver,Female,3886,31360
921,Delivery driver; Pizza deliverer; Taxi-truck driver; Van driver,Male,32837,37757
803,Dental assistant; Dental nurse,Female,24635,35900
984,Dental assistant; Dental nurse,Male,439,33759
335,Dental hygienist,Female,1599,60469
427,Dental hygienist,Male,109,70903
634,Dental mechanic or technician,Female,942,43789
571,Dental mechanic or technician,Male,1669,60001
542,Dental prosthetist,Female,68,48929
382,Dental prosthetist,Male,221,73855
34,Dental specialist,Female,320,140505
34,Dental specialist,Male,548,253442
417,Dental therapist,Female,1324,55979
413,Dental therapist,Male,100,71961
56,Dentist,Female,3531,105721
63,Dentist,Male,4134,146865
18,Dermatologist,Female,178,195030
12,Dermatologist,Male,170,383880
113,Detective – police,Female,905,84028
180,Detective – police,Male,3464,97404
19,Diagnostic and interventional radiologist,Female,713,180695
11,Diagnostic and interventional radiologist,Male,1139,386003
686,Die maker; Toolmaker,Female,22,41472
529,Die maker; Toolmaker,Male,3446,63262
729,Die setter – plastics; Model maker – plastic; Plastics press machine operator,Female,386,39523
622,Die setter – plastics; Model maker – plastic; Plastics press machine operator,Male,1689,55667
476,Dietitian,Female,4331,52177
562,Dietitian,Male,242,60377
320,Director – film and video editor; Film editor; Video editor,Female,880,61218
442,Director – film and video editor; Film editor; Video editor,Male,2359,69358
548,Director of photography,Female,46,48477
411,Director of photography,Male,149,71983
777,Disabilities support officer,Female,14072,37189
862,Disabilities support officer,Male,6475,42048
854,Disc jockey – nightclub,Female,15,33778
883,Disc jockey – nightclub,Male,70,40905
1032,Dishwasher; Kitchen hand; Sandwich hand,Female,45671,25404
1099,Dishwasher; Kitchen hand; Sandwich hand,Male,36406,20427
492,Distance education teacher; Migrant teacher,Female,667,51662
595,Distance education teacher; Migrant teacher,Male,244,57715
603,Distiller,Male,53,57317
855,Diver (open water),Female,166,33709
283,Diver (open water),Male,1379,82890
895,Diversional therapist,Female,1700,32366
824,Diversional therapist,Male,112,44433
967,Diving instructor (open water),Female,179,29145
873,Diving instructor (open water),Male,399,41253
46,Doctor – medical practitioner – other; Occupational medicine specialist; Public health physician; Sports physician,Female,9756,118310
46,Doctor – medical practitioner – other; Occupational medicine specialist; Public health physician; Sports physician,Male,10652,187468
910,Dog handler or trainer,Female,726,31876
689,Dog handler or trainer,Male,323,51766
1076,Door-to-door salesperson,Female,247,21706
1078,Door-to-door salesperson,Male,473,25336
582,"Drainage, sewerage and stormwater labourer",Female,33,47094
564,"Drainage, sewerage and stormwater labourer",Male,3923,60319
338,Drainer; Plumber – drainer,Female,10,60324
433,Drainer; Plumber – drainer,Male,2830,70498
592,Drama teacher – private,Female,323,46750
766,Drama teacher – private,Male,75,47744
158,Dredge operator,Male,307,100355
168,Driller’s assistant,Female,93,75535
170,Driller’s assistant,Male,5824,98869
55,Drilling plant operator; Oil rig worker – driller,Female,151,105800
113,Drilling plant operator; Oil rig worker – driller,Male,9073,109866
1075,Drink waiter; Host – dining room; Steward – food and beverage; Waiter; Waitress,Female,78294,21709
1092,Drink waiter; Host – dining room; Steward – food and beverage; Waiter; Waitress,Male,25759,23567
725,Driving instructor,Female,223,39733
687,Driving instructor,Male,1048,51789
983,Drover – mixed livestock; Jackeroo – mixed livestock; Jillaroo – mixed livestock; Livestock farm worker – mixed livestock; Stationhand – mixed livestock,Female,814,28329
971,Drover – mixed livestock; Jackeroo – mixed livestock; Jillaroo – mixed livestock; Livestock farm worker – mixed livestock; Stationhand – mixed livestock,Male,2519,34552
954,Drover – other livestock; Farm hand – other livestock; Jackeroo – other livestock; Jillaroo – other livestock; Stationhand – other livestock,Female,502,29865
907,Drover – other livestock; Farm hand – other livestock; Jackeroo – other livestock; Jillaroo – other livestock; Stationhand – other livestock,Male,1391,38947
1068,Drover – sheep; Jackeroo – sheep; Jillaroo – sheep; Sheep farm worker; Stationhand – sheep,Female,398,22837
1015,Drover – sheep; Jackeroo – sheep; Jillaroo – sheep; Sheep farm worker; Stationhand – sheep,Male,1039,31525
657,Drug and alcohol counsellor,Female,839,42966
799,Drug and alcohol counsellor,Male,537,45942
899,Drycleaner,Female,1014,32202
905,Drycleaner,Male,683,39111
519,Earth science technician; Soil technician,Female,1902,50048
519,Earth science technician; Soil technician,Male,3967,63884
663,Earthmoving labourer; Grave digger; Labourer – digging,Female,459,42766
607,Earthmoving labourer; Grave digger; Labourer – digging,Male,13268,56828
89,Earthmoving plant operator – general,Female,1744,91602
267,Earthmoving plant operator – general,Male,33474,84566
514,Ecologist – animal; Zoologist,Female,626,50246
387,Ecologist – animal; Zoologist,Male,615,73561
297,Ecologist – forestry; Forest ranger; Forester – scientist,Female,423,62741
313,Ecologist – forestry; Forest ranger; Forester – scientist,Male,1392,79727
63,Economist,Female,1125,101533
62,Economist,Male,2371,148478
331,Education advisor,Female,7764,60825
401,Education advisor,Male,2960,72831
546,Education reviewer,Female,730,48576
702,Education reviewer,Male,318,50731
261,Educational psychologist,Female,1338,65538
315,Educational psychologist,Male,322,79707
994,Electoral officer; Forms designer; Knowledge manager; Lobbyist; Museum registrar,Female,4838,27807
952,Electoral officer; Forms designer; Knowledge manager; Lobbyist; Museum registrar,Male,3381,35891
584,Electorate officer,Female,768,46996
782,Electorate officer,Male,502,46883
191,Electrical appliance servicer; Electrical fitter; Electrical mechanic; Electrician – general; Mechanic – electrical; Repairer – electrical appliances; Servicer – electrical appliances,Female,839,72886
242,Electrical appliance servicer; Electrical fitter; Electrical mechanic; Electrician – general; Mechanic – electrical; Repairer – electrical appliances; Servicer – electrical appliances,Male,98555,87740
109,Electrical engineer,Female,1456,84868
107,Electrical engineer,Male,21488,112586
325,Electrical engineering draftsperson,Female,312,60952
288,Electrical engineering draftsperson,Male,1330,82301
501,Electrical engineering technician; Electrical tester; Electronics tester,Female,345,50945
222,Electrical engineering technician; Electrical tester; Electronics tester,Male,8451,89750
558,Electrical lines worker,Female,109,48229
194,Electrical lines worker,Male,10019,94793
682,Electrical trades assistant or labourer; Electrician’s assistant; Telecommunications trades assistant,Female,278,41662
632,Electrical trades assistant or labourer; Electrician’s assistant; Telecommunications trades assistant,Male,5672,55135
409,Electronic engineering draftsperson,Female,47,56381
266,Electronic engineering draftsperson,Male,286,84698
467,Electronic engineering technician,Female,217,52697
378,Electronic engineering technician,Male,5378,74223
504,Electronic instrument fitter or technician,Female,242,50831
290,Electronic instrument fitter or technician,Male,4164,82057
163,Electronics engineer,Female,382,76431
198,Electronics engineer,Male,6539,94159
692,Electroplater,Female,7,41155
666,Electroplater,Male,329,52976
26,Emergency medicine specialist,Female,474,165786
40,Emergency medicine specialist,Male,829,232595
298,Emergency service worker,Female,752,62695
203,Emergency service worker,Male,1312,93665
619,Employment office clerk; Human resource clerk; Personnel records clerk,Female,7283,44652
745,Employment office clerk; Human resource clerk; Personnel records clerk,Male,1874,48412
22,Endocrinologist,Female,122,174542
31,Endocrinologist,Male,125,258972
67,Engineer – other professional,Female,1933,100617
76,Engineer – other professional,Male,18891,130533
49,Engineering manager,Female,1219,116732
61,Engineering manager,Male,25389,150325
400,Engineering patternmaker,Female,5,57031
420,Engineering patternmaker,Male,179,71282
196,Engineering technologist,Female,222,72158
181,Engineering technologist,Male,2497,97113
606,English language teacher,Female,2756,45284
767,English language teacher,Male,1227,47743
824,Engraver,Female,79,34799
787,Engraver,Male,252,46615
702,Enrolled nurse; Student enrolled nurse,Female,13107,40865
807,Enrolled nurse; Student enrolled nurse,Male,1439,45640
242,Environmental adviser; Environmental auditor; Environmental consultant; Environmental officer,Female,4906,66818
300,Environmental adviser; Environmental auditor; Environmental consultant; Environmental officer,Male,5727,81101
126,Environmental engineer,Female,1002,80833
184,Environmental engineer,Male,1881,96527
107,Environmental manager,Female,1305,85396
140,Environmental manager,Male,3029,103979
167,Environmental scientist,Female,3435,75697
178,Environmental scientist,Male,4260,97671
