Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Channel Islands,CHI,Arable land (hectares),AG.LND.ARBL.HA,,4000,4000,4000,4000,4000,4000,4000,4000,4099.999905,4099.999905,4099.999905,4099.999905,4000,4000,4000,4000,4000,3900.000095,3900.000095,3900.000095,3900.000095,3900.000095,3799.999952,3799.999952,3799.999952,3799.999952,3799.999952,3700.000048,3700.000048,3700.000048,3700.000048,3700.000048,3599.999905,3599.999905,3599.999905,3599.999905,3500,3700.000048,3900.000095,3900.000095,3700.000048,3599.999905,3599.999905,3700.000048,3799.999952,3599.999905,3400.000095,3700.000048,4099.999905,4300.000191,4400.000095,4300.000191,4170.000076,4130.000114,3900.000095,3900.000095,,,
Chile,CHL,Arable land (hectares),AG.LND.ARBL.HA,,3640000,3660000,3680000,3700000,3720000,3740000,3760000,3780000,3800000,3902000,3952000,4002000,4102000,4152000,4152000,4198000,4095000,3992000,3889000,3836000,3733000,3580000,3528000,3475000,3444000,3354000,3076000,3059000,3070000,2802000,2685000,2440000,2304000,2276000,2120000,1985000,1982000,1979000,1800000,1750000,1750000,1650000,1500000,1500000,1450000,1350000,1262000,1312000,1310000,1271000,1317000,1283000,1309000,1289199.951,1313000,1269800.049,,,
China,CHN,Arable land (hectares),AG.LND.ARBL.HA,,102600000,102300000,102100000,101900000,101650000,101200000,100720000,100240000,99760000,99280000,98850000,98390000,97920000,98460000,96990000,96860000,96720000,96430000,96452000,96175000,96790000,101700000,107300000,114000000,120100000,120500000,120200000,120900000,122200000,123800000,124875000,122900000,121300000,120700000,119580000,119339000,119500000,119850000,119300000,118170000,116082000,114500000,111700000,111600000,112250000,108700000,108485000,108116000,107720000,107220000,106520000,105920000,105720000,105700000,119000000,118900000,,,
Cote d'Ivoire,CIV,Arable land (hectares),AG.LND.ARBL.HA,,1680000,1680000,1680000,1680000,1680000,1680000,1700000,1700000,1700000,1700000,1700000,1710000,1740000,1775000,1815000,1840000,1880000,1910000,1925000,1955000,1970000,1990000,2034000,2301000,2380000,2380000,2400000,2420000,2420000,2430000,2450000,2600000,2902000,3000000,3000000,3000000,2900000,2900000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,,,
Cameroon,CMR,Arable land (hectares),AG.LND.ARBL.HA,,5000000,5050000,5100000,5150000,5200000,5250000,5300000,5350000,5400000,5400000,5450000,5450000,5450000,5500000,5550000,5600000,5666000,5639000,5898000,5910000,5910000,5910000,5910000,5910000,5910000,5930000,5930000,5940000,5940000,5940000,5950000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5960000,5963000,5963000,5963000,5963000,5963000,6200000,6200000,6200000,6200000,6200000,6200000,6200000,,,
"Congo, Dem. Rep.",COD,Arable land (hectares),AG.LND.ARBL.HA,,6400000,6400000,6400000,6380000,6360000,6360000,6370000,6400000,6420000,6440000,6470000,6500000,6520000,6550000,6545000,6590000,6610000,6620000,6600000,6620000,6650000,6640000,6650000,6670000,6700000,6720000,6700000,6700000,6700000,6670000,6680000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000,6750000,6790000,6800000,7000000,7100000,7100000,7100000,7100000,7100000,,,
"Congo, Rep.",COG,Arable land (hectares),AG.LND.ARBL.HA,,520000,520000,520000,518000,518000,518000,518000,518000,519000,520000,520000,520000,524000,526000,527000,531000,528000,483000,485000,488000,491000,516000,520000,522000,528000,525000,498000,500000,502000,479000,481000,480000,485000,473000,475000,477000,490000,491000,495000,490000,490000,490000,490000,490000,490000,490000,490000,490000,500000,510000,530000,530000,550000,550000,550000,550000,,,
Colombia,COL,Arable land (hectares),AG.LND.ARBL.HA,,3532000,3532000,3550000,3550000,3560000,3570000,3570000,3570000,3572000,3572000,3573000,3588000,3604000,3619000,3635000,3650000,3666000,3681000,3697000,3712000,3728000,3743000,3759000,3774000,3790000,3805000,3824000,3639000,3472000,3305000,3038000,3070000,2923000,2832000,2399000,2433000,2539000,2551000,2536000,2818000,2434000,2211000,2264000,2238000,2026000,1904599.976,1998000,1830000,1775000,1763000,1586000,1578000,1682000,1728199.951,1688599.976,1688599.976,,,
Comoros,COM,Arable land (hectares),AG.LND.ARBL.HA,,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,,,
Cabo Verde,CPV,Arable land (hectares),AG.LND.ARBL.HA,,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,40000,40000,41000,41000,41000,41000,41000,42000,42000,44000,44000,44000,44000,46000,47000,47000,48000,48000,48000,48000,50000,50000,50000,50000,55000,55000,50000,50000,50000,,,
